INFO 2025-02-16 21:36:55,385 autoreload Watching for file changes with StatReloader
DEBUG 2025-02-16 21:36:55,386 autoreload Waiting for apps ready_event.
INFO 2025-02-16 21:36:57,867 autoreload Watching for file changes with StatReloader
DEBUG 2025-02-16 21:36:57,868 autoreload Waiting for apps ready_event.
DEBUG 2025-02-16 21:36:58,907 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-02-16 21:36:58,929 autoreload Watching dir X:\Coding Junk\Git Adventure\Ai-Bills-Extractor\django\receipt_processor\core\templates with glob **/*.
DEBUG 2025-02-16 21:36:58,929 autoreload Watching dir X:\Coding Junk\Git Adventure\Ai-Bills-Extractor\django\receipt_processor\locale with glob **/*.mo.
DEBUG 2025-02-16 21:36:58,930 autoreload Watching dir X:\Coding Junk\Git Adventure\Ai-Bills-Extractor\django\receipt_processor\core\locale with glob **/*.mo.
DEBUG 2025-02-16 21:36:58,961 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2025-02-16 21:36:58,964 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2025-02-16 21:36:59,229 autoreload File C:\Users\Ymir\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\utils\__init__.py first seen with mtime 1700302622.2556913
DEBUG 2025-02-16 21:36:59,229 autoreload File C:\Users\Ymir\AppData\Local\Programs\Python\Python311\Lib\site-packages\pydantic\v1\error_wrappers.py first seen with mtime 1716276997.294437
DEBUG 2025-02-16 21:36:59,230 autoreload File C:\Users\Ymir\AppData\Local\Programs\Python\Python311\Lib\site-packages\pydantic\_internal\_fields.py first seen with mtime 1716276997.2774737
DEBUG 2025-02-16 21:36:59,230 autoreload File C:\Users\Ymir\AppData\Local\Programs\Python\Python311\Lib\site-packages\rich\syntax.py first seen with mtime 1716797223.0517485
DEBUG 2025-02-16 21:36:59,230 autoreload File C:\Users\Ymir\AppData\Local\Programs\Python\Python311\Lib\site-packages\openai\types\chat\chat_completion_content_part_image_param.py first seen with mtime 1734080996.5032938
DEBUG 2025-02-16 21:36:59,230 autoreload File C:\Users\Ymir\AppData\Local\Programs\Python\Python311\Lib\site-packages\h2\utilities.py first seen with mtime 1725420969.5162933
DEBUG 2025-02-16 21:36:59,230 autoreload File C:\Users\Ymir\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\templatetags\__init__.py first seen with mtime 1700302622.2436817
DEBUG 2025-02-16 21:36:59,231 autoreload File C:\Users\Ymir\AppData\Local\Programs\Python\Python311\Lib\site-packages\openai\types\beta\threads\run_create_params.py first seen with mtime 1734080996.4839647
DEBUG 2025-02-16 21:36:59,231 autoreload File C:\Users\Ymir\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\utils\termcolors.py first seen with mtime 1700302622.2736108
DEBUG 2025-02-16 21:36:59,231 autoreload File C:\Users\Ymir\AppData\Local\Programs\Python\Python311\Lib\site-packages\openai\resources\audio\speech.py first seen with mtime 1734080996.4173799
DEBUG 2025-02-16 21:36:59,232 autoreload File C:\Users\Ymir\AppData\Local\Programs\Python\Python311\Lib\site-packages\h11\_events.py first seen with mtime 1724571628.1904235
DEBUG 2025-02-16 21:36:59,232 autoreload File C:\Users\Ymir\AppData\Local\Programs\Python\Python311\Lib\site-packages\openai\types\images_response.py first seen with mtime 1734080996.4403334
DEBUG 2025-02-16 21:36:59,232 autoreload File C:\Users\Ymir\AppData\Local\Programs\Python\Python311\Lib\site-packages\openai\types\shared_params\response_format_json_object.py first seen with mtime 1734080996.5234368
DEBUG 2025-02-16 21:36:59,232 autoreload File C:\Users\Ymir\AppData\Local\Programs\Python\Python311\DLLs\_ssl.pyd first seen with mtime 1686106894.0
DEBUG 2025-02-16 21:36:59,232 autoreload File C:\Users\Ymir\AppData\Local\Programs\Python\Python311\Lib\site-packages\attr\_make.py first seen with mtime 1714246524.3108666
DEBUG 2025-02-16 21:36:59,232 autoreload File C:\Users\Ymir\AppData\Local\Programs\Python\Python311\Lib\site-packages\openai\resources\chat\__init__.py first seen with mtime 1734080996.4273758
DEBUG 2025-02-16 21:36:59,232 autoreload File C:\Users\Ymir\AppData\Local\Programs\Python\Python311\Lib\site-packages\openai\lib\__init__.py first seen with mtime 1734080996.405786
DEBUG 2025-02-16 21:36:59,233 autoreload File C:\Users\Ymir\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\core\files\utils.py first seen with mtime 1700302622.0711071
DEBUG 2025-02-16 21:36:59,233 autoreload File C:\Users\Ymir\AppData\Local\Programs\Python\Python311\Lib\site-packages\hpack\table.py first seen with mtime 1725420969.359302
DEBUG 2025-02-16 21:36:59,233 autoreload File C:\Users\Ymir\AppData\Local\Programs\Python\Python311\Lib\site-packages\pydantic\v1\decorator.py first seen with mtime 1716276997.293432
